root,path,depth,button_name,query,message,child_count,utility_buttons,external_urls
교통·차량,교통·차량,0,교통·차량,btn_최상위_교통차량_default,교통 · 차량 업무 관련 원하는 정보를 선택해 주시면 자세하게 알려드리겠습니다🙂,22,🏠처음으로,
교통·차량,교통·차량 > 차량등록과,1,차량등록과,btn_교통차량_화성시 관내 차량등록 사업소_상위 인텐트_default,화성시 차량등록과 정보를 알려드리겠습니다.🙂,0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 등록 관련 안내,1,자동차 등록 관련 안내,btn_최상위_자동차 등록_default,자동차 업무 관련 원하는 정보를 선택해 주시면 자세하게 알려드리겠습니다🙂,7,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 등록 관련 안내 > 자동차 신규 등록,2,자동차 신규 등록,btn_교통차량_자동차 등록 방법_인터넷 신규등록_default,"자동차 신규 등록은
자동차365
와
방문
등록이 가능합니다.
1. 자동차365에서 인터넷 등록 가능합니다.
🔹대상: 위택스 가입자, 저당 없이 구입차(즉, 현금 구매한 차량), 국산차, 신조자동차(비영업용), 임시운행허가 차량, 공채 인터넷 뱅킹 납부 가능자
📌다음의 경우 등록 불가
┗ 공동명의로 등록 원하는 경우
┗ 자동차 등록번호를 직접 선택 희망하는 경우
┗ 차량 취득세 분할 납부 희망하는 경우
┗ 비과세 감면 대상 차량(장애인, 국가유공자, 경차, 하이브리드 및 전기차 등)
┗ 차고지 신고해야 하는 대상자
┗ 영업용, 법인,",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 등록 관련 안내 > 자동차 이전 등록,2,자동차 이전 등록,btn_교통차량_자동차 등록 방법_인터넷 이전등록_default,"자동차 이전 등록은
자동차365
와
방문
등록이 가능합니다.
1. 자동차365에서 인터넷 등록 가능합니다.
🔹대상: 양도인, 양수인 모두 공인인증서 로그인 후 작성한 양도증명서 PDF 파일로 변환한 뒤 첨부가 가능한자
📌다음의 경우 인터넷 등록 불가
┗ 영업용,법인/사업자용 차량
┗ 기존 공동명의 차량 또는 공동명의 등록 예정 차량
┗ 번호판 변경 원하거나 지역번호판인 경우
┗ 비과세 감면 대상 차량(장애인, 국가유공자, 경차, 하이브리드 및 전기차 등)
┗ 차고지 신고해야 하는 대상자
┗ 공채 매입 원하는 경우
2. 화성시 방문기",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 등록 관련 안내 > 자동차 변경 등록,2,자동차 변경 등록,btn_교통차량_자동차 변경 등록_상위 인텐트_default,"자동차 변경 등록 대상 기준 입니다.
🔹주소, 사용본거지, 상호 변경해야합니다.
* 법인등록번호 등 변경 된 경우는 변경 등록이 아닌 이전등록 업무 필요
🔹화성시 관내 이전일 경우 호수, 층수만 변경 될 경우 및 기존 법인등기부등본 상 조금이라도 변경이 있을 경우 반드시 변경해야합니다.
💡
개인
,
법인
구비서류 및 등록 대상이 상이합니다.
원하는 내용을 선택해 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 등록 관련 안내 > 자동차 말소 등록,2,자동차 말소 등록,btn_교통차량_자동차 등록 방법_인터넷 말소등록_default,"자동차 말소 등록은
자동차365
와
방문
등록이 가능합니다.
1. 자동차365에서 인터넷 등록 가능합니다.
🔹대상: 위택스 가입자, 폐차인수증명서 받을 수 있는 차량
📌다음의 경우 인터넷 등록 불가
┗ 차령초과, 영업용 차량
2. 화성시 방문기준 자동차 말소 등록 구비서류 안내해 드리겠습니다.
🔸타지자체 방문하는 경우 방문처로 구비서류 확인 후 방문 必
🔸개인 단독명의 일반승용차 폐차 말소 외 업무는 콜센터(1577-4200)로 연락 주시면 자세하게 알려드리겠습니다.
👉옆으로 넘겨 정보를 확인해 주시기 바랍니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 등록 관련 안내 > 이륜차 등록,2,이륜차 등록,btn_교통차량_이륜차 등록_상위 인텐트_default,"이륜차 등록업무는 주소지 관계없이 전국에서 가능한 업무입니다.
화성시 관내의 경우 읍면동 행정복지센터에서 업무처리 가능합니다.
👆상세보기를 눌러 정보를 확인해 주시기 바랍니다.
💡추가 문의는 아래 콜센터(1577-4200)로 연락 주시면 자세하게 알려드리겠습니다.",49,교통 · 차량 안내|🏠처음으로,tel:031-5189-3428|tel:031-5189-3402|tel:031-5189-3496|tel:031-5189-1957|tel:031-5189-3665|tel:031-5189-3669|tel:031-5189-1725|tel:031-5189-7141|tel:031-5189-2756|tel:031-5189-2547|tel:031-5189-2840|tel:031-5189-2775|tel:031-5189-2787|tel:031-5189-1986|tel:031-5189-2827|tel:031-5189-4385|tel:031-5189-4630|tel:031-5189-6907|tel:031-5189-6906|tel:031-5189-4506|tel:031-5189-4528|tel:031-5189-4526|tel:031-5189-4551|tel:031-5189-4565|tel:031-5189-4568|tel:031-5189-4586|tel:031-5189-4243|tel:031-5189-4611|tel:031-5189-4668|tel:031-5189-4751|tel:031-5189-4889|tel:031-5189-4845|tel:031-5189-4081|tel:031-5189-4075|tel:031-5189-4076|tel:031-5189-4465|tel:031-5189-4454|tel:031-5189-4927|tel:031-5189-4959|tel:031-5189-4312|tel:031-5189-4315|tel:031-5189-4645|tel:031-5189-4011|tel:031-5189-4014|tel:031-5189-4897|tel:031-5189-4894|tel:031-5189-4896|tel:031-5189-5358|tel:031-5189-5336
교통·차량,교통·차량 > 자동차 등록 관련 안내 > 자동차 이전 등록 대행업체,2,자동차 이전 등록 대행업체,btn_교통차량_자동차 이전 등록 대행업체_상위 인텐트_default,"자동차 이전 등록 대행업체 입니다.
🔹 (향남) 오복사: 010-3328-2500, 010-2890-1388
🔹 (향남) 태극사: 010-4707-5361
🔹 (동탄) 오복사: 010-5650-0109
🔹 (동탄) 삼우사: 010-3559-9821
아래에서 선택해 주시면 연결해 드리겠습니다.",0,,
교통·차량,교통·차량 > 자동차 등록 관련 안내 > 자동차 말소 여부 확인,2,자동차 말소 여부 확인,btn_교통차량_자동차 등록 방법_인터넷 말소등록_여부,"자동차 말소등록 여부는 자동차 등록원부 발급 받거나 또는  화성시청 콜센터에서 조회 가능합니다.
📌차량 번호, 차주 성함 필요
원하시는 발급 방법을 선택해 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 등록원부 발급 방법,1,자동차 등록원부 발급 방법,btn_교통차량_자동차 등록원부 발급_상위 인텐트_default,"자동차 등록원부는🔹인터넷🔹방문 발급이 가능합니다.
원하시는 발급 방식을 선택해 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 등록증 발급 방법,1,자동차 등록증 발급 방법,btn_교통차량_자동차 등록증 발급_상위 인텐트_default,"자동차 등록증은🔹인터넷 발급🔹방문 발급이 가능합니다.
원하시는 발급 방식을 선택해 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 당일 발급 자동차 번호판대,1,당일 발급 자동차 번호판대,btn_교통차량_당일 발급 자동차 번호판대_상위 인텐트_default,"번호판대는 화성시청 콜센터에서 확인 후 안내 가능합니다.
💡아래 버튼을 누르면 콜센터(1577-4200)로 연결해 드립니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차번호판 제작소,1,자동차번호판 제작소,btn_교통차량_자동차번호판 제작소_상위 인텐트_default,"화성시 자동차번호판 제작소 번호입니다.
🔹자동차번호판 제작소 (업무용 핸드폰 번호)
- 차량 끝 번호 홀수: 010-5283-9790
- 차량 끝 번호 짝수: 010-9153-7607",0,교통 · 차량 안내|🏠처음으로,
